Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Cardiovascular,Vision,Ethicon,DePuy,EndoSurgery,,,,,,,
,Consumer,Acquisitions,Failures,,,,,,,,,
,Mentor,,,,,,1/15/25: Filed NDA for TAR-200.,,,,,
,,,,,,,1/13/25: Agrees to acquire Intracellular for $14.6B.,,,,,
,,,,,,,1/10/25: CE Mark for ThermoCool SmartTouch,,,,,
,,,,,,,1/9/25: nipocalimab priority review,,,,,
,,,,,,,1/8/25: posdinemab & tau active immunotherapy FTD,,,,,
,,,,,,,1/7/25: Rybrevant + Lazcluze beats osimertinib in OS,,,,,
,,,,,,,1/2/25: Q1 Dividend of 1.24.,,,,,
,,,,,,,12/30/24: Rybrevant+Lazcluze EC 1L approval,,,,,
,,,,,,,12/18/24: Files EMA MAA for Imbruvica 1L MCL who are SCT eligible,,,,,
,,,,,,,12/12/24: Investor conference,,,,,
,,,,,,,12/12/24: Impella pediatric indication expansion.,,,,,
,,,,,,,12/10/24: Q4 call date.,,,,,
,,,,,,,12/9/24: Carvykti CARTITUDE-4 data.,,,,,
,,,,,,,12/9/24: wAIHA research,,,,,
,,,,,,,12/8/24: Darzalex Faspro data for 1L MM.,,,,,
,,,,,,,12/2/24: MemoryGel Enhance breast implant FDA approval,,,,,
,,,,,,,12/2/24: Files Tremfya sBLAs for pediatric psoriasis and PsA,,,,,
,,,,,,,11/22/24: Files sBLA for Tremfya subcutaneous for UC,,,,,
,,,,,,,11/19/24: ASH preview,,,,,
,,,,,,,11/18/24: icotrokinra Phase III results in psoriasis,,,,,
,,,,,,,11/15/24: CHMP recommends Rybrevant+Lazcluze on MARIPOSA results,,,,,
,,,,,,,11/14/24: nipocalimab Sjogren's results,,,,,
,,,,,,,10/15/24: Q3 results.,,,,,
,,,,,,,9/14/22: $5B buyback. Reaffirms 10.65-10.75 EPS.,,,,,
,,,,,,,9/13/22: Q3 results date (10/18/22).,,,,,
,,,,,,,9/6/22: Launches Octaray mapping catheter,,,,,
,,,,,,,8/27/22: Darzalex GRIFFIN results presented at IMSAM,,,,,
,,,,,,,8/24/22: Imbruvica approved for pediatric GvHD,,,,,
,,,,,,,8/24/22: Tecvayli approved by EC,,,,,
,,,,,,,8/9/22: investor conference,,,,,
,,,,,,,8/4/22: EC approves new Imbruvica regimen for 1LL CLL,,,,,
,,,,,,,5/11/22: Consumer Health spinout CEO announced. 2023 separation.?,,,,,
,,,,,,,7/26/19: CHMP positive opinion for Stelara for UC,,,,,
,,,,,,,7/25/19: Phase III ponesimod RMS results,,,,,
