Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,,TDP,,,,,,Price,194,
,R100,Server,2000,"""at Fab, on schedule for volume production next year. 3D-gen NVLink""",,,,,Shares,24300,Q225
,B100,Server,700,,,,,,MC,4714200,
,B200 (Blackwell Ultra?),,,"""has generated 10s of billions in revenue""",,,,,Cash,56791,Q225
,B300,,,,,,,,Debt,8466,Q225
,H100,Server,700,,,,,,EV,4665875,
,A100,Server,400,,,,,,,,
,V100,Server,250-300,,,,,,Founded,1993,
,4090,Consumer,450,,,,,,,,
,5090,Consumer,575,,,,,,,,
,Clara,Healthcare,,,,,,,,,
,Omniverse,Industrial,,,,,,,,,
,DRIVE,Autonomous Driving,,,,,,,,,
,Quantum,InfiniBand,,,,,,,,2/8/22: Arm deal terminated with SoftBank.,
,Spectrum,Ethernet,"Spectrum-X outperforms Ethernet as networking fabric, will be multi-billion product",,,,,,,9/13/2020: Announced Arm deal for $40B.,
,Jetson,,,,,,,,,4/27/2020: Mellanox acquisition: $7.1B.,
,DGX,,,,,,,,,2017: first Tensor Core GPU,
,GeForce NOW,,,,,,,,,2012: AlexNet,
,,,,,,,,,,2006: CUDA,
,Wafers,"TSMC, Samsung",,,,,,,,1999: invention of the GPU. RIVA TNT2.,
,Memory,"Micron, SK Hynix, Samsung",,,,,,,,"1998: Reincorporated in Delaware, filed IPO, RIVA128 product.",
,Assembly,"Hon Hai, Wistron, Fabrinet",,,,,,,,"1993: Founded in Santa Clara, California.",
,,,,,,,,,,,
,,,,,,,,,,1. Chris Malachowsky (co-founder),
,40% of Data Center revenue was for Inference,,,,,,,,,2. Curtis Priem (co-founder),
,"""Sov AI revenue will reach low double digit billions in FY25""",,,,,,,,,"Christine Hoberg (CFO, charged with fraud).",
,,,,,,,,,,"26. Jeff Fisher, first sales person",
,,,,,,,,limited 2026,,Mark Allen (left to become CEO of Transmeta),
,,,,,,,,,,,
,Rubin,"taped out June 2025, next version taping out in September?",,,"MI450 - upcoming AMD chip, Broadcom chip, OpenAI chip",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Competition,,,,,,,,,,
,,Ampere Computing acquired by Softbank for $6.5B?!?! Only $16m revenue.,,,,,,,,,
