Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Name,Indication,Approved,Economics,MOA,Admin,IP,,,Price,58.91,
,Voxzogo (vosoritide),Achondroplasia,2021-11-19 00:00:00,1,CNP,,,,,Shares,196.0,Q125
,Palynziq (pegvaliase),PKU,2018-05-24 00:00:00,1,,,,,,MC,11546.359999999999,
,Brineura (cerliponase),Batten,2017-04-27 00:00:00,1,,,,,,Cash,1779.0,Q125
,Vimizim (elosulfase),MPS IVA,2014-02-14 00:00:00,1,ERT,,,,,Debt,596.0,Q125
,Kuvan (sapropterin),PKU,2007-12-13 00:00:00,MRK GY,,Oral,,,,EV,10363.359999999999,
,Naglazyme (galsulfase),MPS VI,2005-05-31 00:00:00,1,ERT,,,,,,,
,Aldurazyme (laronidase),MPS I,2003-04-30 00:00:00,SNY,ERT,,,,,CEO: Alexander Hardy,,
,Roctavian (valoctogene roxaparvovec),Hemophilia A,3/31/23 PDUFA,1,AAV F8,IV,,,,CCO: Jeff Ajer,,
,,,Phase,,,,,,,,,
,BMN 331,HAE,I,,,,,,,,,
,BMN 307,PKU,PC,,,,,,,,,
,BMN 255,Hyperoxaluria,PC,,,,,,,,,
,BMN 333,Achondroplasia,I,,long-acting CNP,,,,,,,
,BMN 349,A1AT,I,,,,,,,,,
,BMN 351,DMD,I,,oligo,,,,,,,
,BMN 293/DINA-001,HCM,PC,,,,,,,,,
,,,,,,,,,,,,
,BMN370 - vWD discontinued,,,,,,,,,,,
