Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Indication,MOA,Approval,Economics,Admin,IP,,Price,10.97,
,,,,,,,,,Shares,713.549458,Q424
,,,,Phase,,,,,MC,7827.63755426,
,brepocitinib,"SLE, Dermatomyositis",TYK2/JAK1,III,PFE,,,,Cash,5436.548,Q424
,batoclimab (IMVT-1402),"TED, MG, Graves, RA, MG, CIDP",FcRn,,,,,,Debt,0,Q424
,RVT-2001,MDS,,,,,,,EV,2391.08955426,
,,,,,,,,,,,
,,,,,,,,,CEO: Matt Gline,,
,,,,,,,,,CCO: Amy Mahery,,
,Affivant,AFVT-2101,,,,,,,CIO: Mayukh Sukhatme,,
,Arbitus,"ARU-2801?, ARU-1801?",,,,,,,COO: Eric Venker,,
,Datavant,,,,,,,,,,
,Dermavant,,,,,,,,QVT,129,
,Genevant,,,,,,,,Softbank,99,
,Hemavant,,,,,,,,Viking,88,
,Immunovant,,,,8/30/22: Investor conferences,,,,Dexcell,99,
,Kinevant,,,,,,,,Sumitomo,86,
,Lokavant,LSVT-1701?,,,,,,,Vivek,78,
,Priovant,"brepocitinib, ropsacitinib",PFE owns 25%,,,,,,,579,
,Proteovant,,,,,,,,,,
,Silicon Therapeutics - $450m!?,,,,,,,,Founded,2014-04-07 00:00:00,
,VantAI,,,,,,,,,,
