Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Name,Indication,Approval,MOA,Economics,Admin,IP,,,Price,309.0,
,Onpattro (patisiran),ATTR Polyneuropathy,,TTR,ABUS?,IV,,,,Shares,130.311,Q125
,Givlaari (givosiran),,,,,,,,,MC,40266.099,
,Oxlumo (lumasiran),PH1,2020-11-01 00:00:00,HAO1,,Subcutaneous,,,,Cash,2632.2219999999998,Q125
,Leqvio (inclisiran),Hypercholesterolemia,,PCSK9,NVS,Subcutaneous,,,,Debt,1025.566,Q125
,Amvuttra (vutrisiran),ATTR Polyneuropathy,,TTR,,Subcutaneous,,,,EV,38659.443,
,,,Phase,,,,,,,,,
,cemdisiran,IgAN,,,,,,,,,,
,fitusiran,Hemophilia,,,,,,,"HQ: Cambridge, MA",,,
,zilebesiran,,,,,,,,"VP, Global Rare Disease Lead: Jorge Capapey",,,
,ALN-APP,"Alzheimer's, CAA",,,,,,,TTR Lead: Rena N. Denoncourt,,,
,ALN-XDH,Gout,,,,,,,CEO: Yvonne Greenstreet,,,
,ALN-KHK,Type 2 Diabetes,,,,,,,CDSO: Evan Lippman,,,
,ALN-HSD,NASH,HSD17B3,I,REGN,,,,"SVP, Head International Region: Kasha Witkos",,,
,,NASH,PNPLA3,PC,REGN,,,,,,,
,,NASH,CIDEB,PC,REGN,,,,,,,
,,,,,,,,,,,,
,,,,,,10/13/22: Q3 results date,,,,,,
,,,,,,10/6/22: sNDA approved for Oxlumo in PH1,,,,,,
,,,,,,9/30/22: APOLLO-B presentation at HFS (incomplete),,,,,,
,,,,,,9/21/22: Management changes,,,,,,
,,,,,,9/20/22: Amvuttra approved in EU,,,,,,
,,,,,,9/19/22: RNAi roundtable webcast,,,,,,
,,,,,,9/15/22: ALN-HSD Phase I results,,,,,,
,,,,,,9/13/22: to present APOLLO-B at HFS,,,,,,
,,,,,,9/13/22: prices $900m converts,,,,,,
,,,,,,9/12/22: to sell $900m converts,,,,,,
