Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Indication,MOA,Economics,Phase,,,,Price,14.14,
,DNL310 (tividenofusp alfa),MPS II,EDS ERT,,Filed,,,,Shares,171.22203,Q125
,DNL343,ALS,eIF2B,,,,,,MC,2421.0795042,
,TAK-594/DNL593,FTD-GRN,,,,,,,Cash,1053.77,Q125
,TNK-920/DNL919,Alzheimer's,TREM2,,,,,,Debt,0.0,Q125
,DNL921,Alzheimer's,ATV:Abeta,,,,,,EV,1367.3095042,
,DNL126,Sanfilippo,SGSH ERT,,I,,,,,,
,DNL151/BIIB122,Parkinson's,LRRK2,BIIB,II,,,,CEO: Ryan Watts,,
,DNL788/SAR443820,Multiple Sclerosis,RIPK1,,II,,,,,,
,DNL758/SAR443122 (eclitasertib),"CLE, UC",RIPK1,SNY,II,,,,PIC,2704.992,Q224
,,,,,,,,,AD,1317.039,Q224
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Salt Like City,,
